,href,youtuber_name,part,gender
19,/watch?v=jZT3I2QRUKU,hulk,chest,1
20,/watch?v=Xat3np4Zr-w,hulk,chest,1
21,/watch?v=AC9twq7A_cs,hulk,chest,1
22,/watch?v=lDsJi3_EW-Y,hulk,chest,1
23,/watch?v=4aI2kfahWP0,hulk,chest,1
24,/watch?v=qkQdIMW1xlw,hulk,chest,1
25,/watch?v=Oz5ts01rzEo,hulk,chest,1
26,/watch?v=xUAM2e4J23Q,hulk,chest,1
27,/watch?v=0-FRcgB-fh8,hulk,chest,1
28,/watch?v=L-HXPnwiMhs,hulk,chest,1
29,/watch?v=yka0VGRh1oc,hulk,chest,1
0,/watch?v=7SpV_ZJue68,hulk,back,1
1,/watch?v=SyiMVdWBP7Y,hulk,back,1
2,/watch?v=CYcLODSeC-c,hulk,back,1
3,/watch?v=jj6ze_eqmYI,hulk,back,1
4,/watch?v=YGAlSSmPXRQ,hulk,back,1
5,/watch?v=c_5ENJWekbQ,hulk,back,1
6,/watch?v=uTmsvZOAh5U,hulk,back,1
7,/watch?v=MgbkgjP9AcU,hulk,back,1
8,/watch?v=aUaafm7Q8pQ,hulk,back,1
9,/watch?v=gsFShSYOovU,hulk,back,1
10,/watch?v=SwlS857LjVc,hulk,back,1
11,/watch?v=KXYi6bI-UPE,hulk,back,1
12,/watch?v=yka0VGRh1oc,hulk,back,1
13,/watch?v=XSQjCgzH6PM,hulk,back,1
14,/watch?v=AC9twq7A_cs,hulk,back,1
15,/watch?v=DJPBglSOC88,hulk,back,1
16,/watch?v=lDsJi3_EW-Y,hulk,back,1
17,/watch?v=gMKrEgAdmmo,hulk,back,1
18,/watch?v=4aI2kfahWP0,hulk,back,1
19,/watch?v=m5LO72gdYGQ,hulk,back,1
20,/watch?v=Diy81w63GuQ,hulk,back,1
21,/watch?v=qkQdIMW1xlw,hulk,back,1
22,/watch?v=opLWW5XUZcY,hulk,back,1
23,/watch?v=oSXhsSUaXTU,hulk,back,1
24,/watch?v=Oz5ts01rzEo,hulk,back,1
25,/watch?v=FFWklphDy8A,hulk,back,1
26,/watch?v=VtCGHITZu_8,hulk,back,1
27,/watch?v=L-HXPnwiMhs,hulk,back,1
28,/watch?v=KTmpqt8mHFE,hulk,back,1
0,/watch?v=jj6ze_eqmYI,hulk,abs,1
1,/watch?v=SwlS857LjVc,hulk,abs,1
2,/watch?v=AC9twq7A_cs,hulk,abs,1
3,/watch?v=c_5ENJWekbQ,hulk,abs,1
4,/watch?v=gd2Ojrh8JSE,hulk,abs,1
5,/watch?v=CYcLODSeC-c,hulk,abs,1
6,/watch?v=lDsJi3_EW-Y,hulk,abs,1
7,/watch?v=n-LSWiZ7vVU,hulk,abs,1
8,/watch?v=juSReVjHZiA,hulk,abs,1
9,/watch?v=FFWklphDy8A,hulk,abs,1
10,/watch?v=IkcWcD_lDhw,hulk,abs,1
11,/watch?v=XSQjCgzH6PM,hulk,abs,1
12,/watch?v=DJPBglSOC88,hulk,abs,1
13,/watch?v=KXYi6bI-UPE,hulk,abs,1
14,/watch?v=uTmsvZOAh5U,hulk,abs,1
15,/watch?v=yka0VGRh1oc,hulk,abs,1
16,/watch?v=DtrSwSW4LPg,hulk,abs,1
17,/watch?v=gMKrEgAdmmo,hulk,abs,1
18,/watch?v=Oz5ts01rzEo,hulk,abs,1
19,/watch?v=7SpV_ZJue68,hulk,abs,1
20,/watch?v=SyiMVdWBP7Y,hulk,abs,1
21,/watch?v=YGAlSSmPXRQ,hulk,abs,1
22,/watch?v=4aI2kfahWP0,hulk,abs,1
23,/watch?v=ErIx1ZUSE3I,hulk,abs,1
24,/watch?v=oSXhsSUaXTU,hulk,abs,1
